year,city,country,avg_temp
1743,Cardiff,United Kingdom,7.07
1744,Cardiff,United Kingdom,9.80
1745,Cardiff,United Kingdom,4.05
1746,Cardiff,United Kingdom,
1747,Cardiff,United Kingdom,
1748,Cardiff,United Kingdom,
1749,Cardiff,United Kingdom,
1750,Cardiff,United Kingdom,9.73
1751,Cardiff,United Kingdom,9.51
1752,Cardiff,United Kingdom,6.26
1753,Cardiff,United Kingdom,8.97
1754,Cardiff,United Kingdom,8.82
1755,Cardiff,United Kingdom,8.54
1756,Cardiff,United Kingdom,8.98
1757,Cardiff,United Kingdom,8.92
1758,Cardiff,United Kingdom,8.29
1759,Cardiff,United Kingdom,9.26
1760,Cardiff,United Kingdom,8.69
1761,Cardiff,United Kingdom,9.23
1762,Cardiff,United Kingdom,8.60
1763,Cardiff,United Kingdom,8.29
1764,Cardiff,United Kingdom,8.64
1765,Cardiff,United Kingdom,8.47
1766,Cardiff,United Kingdom,8.58
1767,Cardiff,United Kingdom,8.62
1768,Cardiff,United Kingdom,8.66
1769,Cardiff,United Kingdom,8.60
1770,Cardiff,United Kingdom,8.51
1771,Cardiff,United Kingdom,8.42
1772,Cardiff,United Kingdom,8.82
1773,Cardiff,United Kingdom,8.71
1774,Cardiff,United Kingdom,8.63
1775,Cardiff,United Kingdom,9.53
1776,Cardiff,United Kingdom,8.73
1777,Cardiff,United Kingdom,8.83
1778,Cardiff,United Kingdom,9.30
1779,Cardiff,United Kingdom,10.19
1780,Cardiff,United Kingdom,9.29
1781,Cardiff,United Kingdom,9.91
1782,Cardiff,United Kingdom,7.92
1783,Cardiff,United Kingdom,9.34
1784,Cardiff,United Kingdom,7.93
1785,Cardiff,United Kingdom,8.22
1786,Cardiff,United Kingdom,8.03
1787,Cardiff,United Kingdom,9.11
1788,Cardiff,United Kingdom,9.03
1789,Cardiff,United Kingdom,8.80
1790,Cardiff,United Kingdom,9.27
1791,Cardiff,United Kingdom,9.16
1792,Cardiff,United Kingdom,9.13
1793,Cardiff,United Kingdom,9.13
1794,Cardiff,United Kingdom,9.47
1795,Cardiff,United Kingdom,8.71
1796,Cardiff,United Kingdom,9.02
1797,Cardiff,United Kingdom,9.13
1798,Cardiff,United Kingdom,9.42
1799,Cardiff,United Kingdom,7.61
1800,Cardiff,United Kingdom,8.83
1801,Cardiff,United Kingdom,9.21
1802,Cardiff,United Kingdom,8.93
1803,Cardiff,United Kingdom,8.52
1804,Cardiff,United Kingdom,9.05
1805,Cardiff,United Kingdom,8.43
1806,Cardiff,United Kingdom,9.29
1807,Cardiff,United Kingdom,8.48
1808,Cardiff,United Kingdom,8.45
1809,Cardiff,United Kingdom,8.45
1810,Cardiff,United Kingdom,8.43
1811,Cardiff,United Kingdom,9.40
1812,Cardiff,United Kingdom,8.11
1813,Cardiff,United Kingdom,8.66
1814,Cardiff,United Kingdom,7.52
1815,Cardiff,United Kingdom,8.42
1816,Cardiff,United Kingdom,7.57
1817,Cardiff,United Kingdom,8.46
1818,Cardiff,United Kingdom,9.38
1819,Cardiff,United Kingdom,8.99
1820,Cardiff,United Kingdom,8.32
1821,Cardiff,United Kingdom,9.26
1822,Cardiff,United Kingdom,9.81
1823,Cardiff,United Kingdom,8.39
1824,Cardiff,United Kingdom,9.16
1825,Cardiff,United Kingdom,9.50
1826,Cardiff,United Kingdom,9.63
1827,Cardiff,United Kingdom,9.00
1828,Cardiff,United Kingdom,9.68
1829,Cardiff,United Kingdom,7.70
